latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,6.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2021-02-11,32.2,18.0,0.00,0.00,3
2021-02-12,30.3,19.3,0.00,0.00,3
2021-02-13,30.3,18.9,0.00,0.00,0
2021-02-14,30.2,20.1,0.00,0.00,0
2021-02-15,28.6,20.6,0.00,0.00,0
2021-02-16,27.8,20.4,0.00,0.00,2
2021-02-17,28.8,20.1,0.00,0.00,0
2021-02-18,31.4,20.5,1.00,1.00,53
2021-02-19,32.0,21.5,0.10,0.10,51
2021-02-20,32.4,20.3,0.00,0.00,3
2021-02-21,34.0,22.0,0.00,0.00,3
2021-02-22,33.1,22.3,0.00,0.00,1
2021-02-23,31.7,21.8,0.00,0.00,0
2021-02-24,33.1,21.8,0.00,0.00,0
2021-02-25,33.1,23.0,0.00,0.00,0
2021-02-26,30.3,21.8,0.00,0.00,2
2021-02-27,31.2,20.8,0.00,0.00,0
2021-02-28,34.3,21.7,0.00,0.00,0
2021-03-01,35.1,24.0,0.00,0.00,1
2021-03-02,34.4,22.0,0.00,0.00,0
2021-03-03,36.3,22.3,0.00,0.00,0
2021-03-04,36.4,21.8,0.00,0.00,0
2021-03-05,36.6,21.8,0.00,0.00,0
2021-03-06,31.4,22.4,0.00,0.00,0
2021-03-07,32.9,21.0,0.00,0.00,0
2021-03-08,32.3,21.4,0.00,0.00,0
2021-03-09,34.9,22.7,0.00,0.00,0
2021-03-10,32.7,23.8,0.00,0.00,2
2021-03-11,31.0,22.7,0.00,0.00,1
2021-03-12,32.7,21.9,0.00,0.00,1
2021-03-13,35.7,24.4,0.00,0.00,1
2021-03-14,34.6,23.6,0.00,0.00,0
2021-03-15,34.6,24.0,0.00,0.00,0
2021-03-16,33.8,23.3,0.00,0.00,0
2021-03-17,34.7,23.0,0.00,0.00,3
2021-03-18,32.5,23.7,0.00,0.00,2
2021-03-19,32.2,23.4,0.00,0.00,2
2021-03-20,31.2,22.2,0.00,0.00,1
2021-03-21,32.0,22.2,0.00,0.00,3
2021-03-22,33.8,23.3,0.00,0.00,3
2021-03-23,33.9,23.6,0.00,0.00,1
2021-03-24,35.6,24.9,0.00,0.00,1
2021-03-25,38.3,25.0,0.00,0.00,0
2021-03-26,36.6,25.1,0.00,0.00,0
2021-03-27,38.6,24.4,0.00,0.00,0
2021-03-28,33.7,23.2,0.00,0.00,3
2021-03-29,32.5,24.4,0.00,0.00,3
2021-03-30,31.4,23.5,0.00,0.00,2
2021-03-31,30.9,22.2,0.00,0.00,1
2021-04-01,31.6,24.3,0.00,0.00,2
2021-04-02,31.0,24.2,0.10,0.10,51
2021-04-03,30.4,24.0,0.00,0.00,3
2021-04-04,31.0,24.4,0.00,0.00,3
2021-04-05,31.7,23.7,0.00,0.00,2
2021-04-06,33.9,23.8,0.00,0.00,0
2021-04-07,33.4,23.7,0.00,0.00,1
2021-04-08,31.5,24.5,0.00,0.00,2
2021-04-09,32.0,24.3,0.00,0.00,2
2021-04-10,32.3,24.0,0.00,0.00,2
2021-04-11,34.1,24.5,0.00,0.00,2
2021-04-12,33.4,24.9,0.00,0.00,1
2021-04-13,36.1,24.9,0.00,0.00,1
2021-04-14,35.4,27.0,0.00,0.00,1
2021-04-15,34.0,25.6,0.00,0.00,1
2021-04-16,32.1,24.5,0.00,0.00,0
2021-04-17,32.4,24.5,0.00,0.00,0
2021-04-18,34.3,24.8,0.00,0.00,1
2021-04-19,32.6,24.8,0.00,0.00,0
2021-04-20,32.1,25.6,0.00,0.00,3
2021-04-21,32.0,25.3,0.00,0.00,3
2021-04-22,32.9,25.1,0.00,0.00,3
2021-04-23,33.3,24.1,0.00,0.00,3
2021-04-24,32.2,23.9,0.00,0.00,3
2021-04-25,33.6,24.3,0.00,0.00,3
2021-04-26,33.4,26.8,0.00,0.00,2
2021-04-27,33.7,26.9,0.00,0.00,1
2021-04-28,34.2,25.8,0.00,0.00,1
2021-04-29,34.1,26.6,0.00,0.00,3
2021-04-30,32.4,26.3,0.00,0.00,3
2021-05-01,34.2,27.0,0.00,0.00,3
2021-05-02,33.6,27.8,0.00,0.00,3
2021-05-03,34.3,26.8,0.00,0.00,2
2021-05-04,33.6,26.7,0.00,0.00,0
2021-05-05,33.4,26.9,0.00,0.00,0
2021-05-06,32.8,27.0,0.00,0.00,1
2021-05-07,32.9,26.8,0.00,0.00,1
2021-05-08,33.3,26.8,0.00,0.00,2
2021-05-09,32.9,27.5,0.00,0.00,2
2021-05-10,33.2,27.5,0.00,0.00,1
2021-05-11,32.7,26.8,0.00,0.00,2
2021-05-12,32.5,27.4,0.00,0.00,3
2021-05-13,32.0,27.3,0.00,0.00,3
2021-05-14,33.2,25.9,0.00,0.00,3
2021-05-15,35.3,27.5,0.00,0.00,3
2021-05-16,36.2,27.1,7.00,7.00,55
2021-05-17,27.5,26.3,199.90,199.90,65
2021-05-18,28.6,26.5,22.60,22.60,61
2021-05-19,29.2,26.0,15.20,15.20,63
2021-05-20,30.7,26.3,1.00,1.00,51
2021-05-21,30.7,26.3,0.30,0.30,51
2021-05-22,30.5,27.5,1.20,1.20,53
2021-05-23,30.8,27.4,1.60,1.60,51
2021-05-24,30.9,27.1,1.80,1.80,53
2021-05-25,30.9,27.4,1.70,1.70,51
2021-05-26,31.0,27.4,0.00,0.00,3
2021-05-27,31.5,28.4,4.80,4.80,61
2021-05-28,31.1,27.6,3.60,3.60,53
2021-05-29,30.9,26.6,2.80,2.80,51
2021-05-30,30.7,27.3,3.30,3.30,51
2021-05-31,30.3,27.0,3.50,3.50,53
2021-06-01,30.5,26.9,7.40,7.40,61
2021-06-02,29.8,26.6,11.10,11.10,63
2021-06-03,30.8,26.8,1.30,1.30,53
2021-06-04,31.1,26.9,5.20,5.20,61
2021-06-05,29.2,25.9,7.70,7.70,55
2021-06-06,29.4,25.5,9.70,9.70,61
2021-06-07,29.2,26.1,10.50,10.50,61
2021-06-08,28.4,26.0,25.10,25.10,63
2021-06-09,28.3,25.8,24.00,24.00,63
2021-06-10,28.1,26.0,24.00,24.00,63
2021-06-11,28.3,26.2,19.60,19.60,63
2021-06-12,28.7,25.7,15.70,15.70,63
2021-06-13,28.9,26.3,9.60,9.60,55
2021-06-14,29.0,26.1,5.20,5.20,53
2021-06-15,28.2,25.9,9.20,9.20,53
2021-06-16,27.3,25.6,13.70,13.70,55
2021-06-17,27.3,25.5,18.50,18.50,61
2021-06-18,27.3,25.1,15.90,15.90,61
2021-06-19,26.9,25.1,18.50,18.50,61
2021-06-20,28.9,25.1,10.30,10.30,53
