latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.110721,80.2459,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-10-23,31.8,24.4,22.50,22.50,65
2020-10-24,32.1,25.3,2.10,2.10,61
2020-10-25,31.0,25.1,0.00,0.00,3
2020-10-26,30.8,25.1,0.00,0.00,3
2020-10-27,29.0,24.7,1.90,1.90,51
2020-10-28,28.0,24.6,9.40,9.40,63
2020-10-29,27.0,23.7,16.00,16.00,61
2020-10-30,30.4,23.7,0.30,0.30,51
2020-10-31,31.0,23.4,0.00,0.00,2
2020-11-01,30.8,23.2,0.00,0.00,3
2020-11-02,30.8,24.2,0.20,0.20,51
2020-11-03,30.4,24.7,0.50,0.50,51
2020-11-04,28.8,25.7,9.20,9.20,63
2020-11-05,29.8,24.9,7.50,7.50,61
2020-11-06,28.8,25.3,5.00,5.00,55
2020-11-07,28.6,25.5,5.70,5.70,53
2020-11-08,29.8,25.7,1.00,1.00,51
2020-11-09,29.4,25.2,0.00,0.00,3
2020-11-10,29.1,23.6,0.10,0.10,51
2020-11-11,27.8,23.8,6.40,6.40,61
2020-11-12,27.9,24.4,19.50,19.50,63
2020-11-13,28.6,25.0,8.40,8.40,55
2020-11-14,29.9,25.3,2.00,2.00,53
2020-11-15,27.0,25.4,25.40,25.40,63
2020-11-16,26.1,24.8,53.50,53.50,63
2020-11-17,28.7,24.3,10.20,10.20,61
2020-11-18,28.3,24.5,3.50,3.50,53
2020-11-19,29.3,25.4,1.10,1.10,51
2020-11-20,29.2,24.0,0.10,0.10,51
2020-11-21,28.4,22.6,0.00,0.00,1
2020-11-22,28.5,20.8,0.00,0.00,3
2020-11-23,29.2,24.5,1.70,1.70,53
2020-11-24,26.6,24.3,20.00,20.00,61
2020-11-25,26.4,24.3,97.30,97.30,65
2020-11-26,28.0,24.2,11.40,11.40,61
2020-11-27,28.1,22.1,2.10,2.10,55
2020-11-28,28.1,22.4,3.00,3.00,53
2020-11-29,27.7,23.8,4.10,4.10,51
2020-11-30,28.7,24.7,2.00,2.00,51
2020-12-01,28.8,24.1,0.00,0.00,3
2020-12-02,27.6,24.5,10.10,10.10,55
2020-12-03,25.4,24.3,57.00,57.00,63
2020-12-04,25.4,24.3,46.50,46.50,63
2020-12-05,26.7,24.4,18.90,18.90,63
