latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,910.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-12-11,25.4,15.9,0.00,0.00,3
2020-12-12,24.8,15.5,0.00,0.00,3
2020-12-13,24.9,14.7,0.00,0.00,3
2020-12-14,25.0,15.1,0.00,0.00,3
2020-12-15,25.0,14.3,0.00,0.00,3
2020-12-16,24.6,17.1,0.50,0.50,51
2020-12-17,24.7,18.4,1.10,1.10,53
2020-12-18,25.5,17.2,0.00,0.00,3
2020-12-19,25.7,17.2,0.00,0.00,3
2020-12-20,24.6,16.6,0.00,0.00,3
2020-12-21,24.2,14.4,0.00,0.00,3
2020-12-22,25.5,13.9,0.00,0.00,3
2020-12-23,26.1,15.5,0.00,0.00,3
2020-12-24,26.4,15.3,0.00,0.00,3
2020-12-25,26.2,15.7,0.00,0.00,3
2020-12-26,25.5,14.8,0.00,0.00,3
2020-12-27,27.3,14.8,0.00,0.00,3
2020-12-28,26.7,14.5,0.00,0.00,3
2020-12-29,27.4,15.0,0.00,0.00,3
2020-12-30,27.5,17.2,0.40,0.40,51
2020-12-31,24.3,17.6,2.00,2.00,53
2021-01-01,25.0,16.3,0.00,0.00,3
2021-01-02,26.3,14.4,0.00,0.00,3
2021-01-03,26.5,17.7,1.30,1.30,55
2021-01-04,24.6,18.3,0.20,0.20,51
2021-01-05,25.2,17.7,0.50,0.50,51
2021-01-06,25.6,19.0,12.10,12.10,63
2021-01-07,24.7,19.2,3.20,3.20,61
2021-01-08,25.9,19.2,8.30,8.30,63
2021-01-09,25.1,18.7,0.80,0.80,51
2021-01-10,25.7,18.1,0.00,0.00,3
2021-01-11,23.8,19.1,0.00,0.00,3
2021-01-12,26.4,17.2,0.10,0.10,51
2021-01-13,26.6,16.6,0.00,0.00,3
2021-01-14,26.2,15.7,0.60,0.60,51
2021-01-15,26.9,17.6,0.00,0.00,3
2021-01-16,27.1,17.2,0.00,0.00,3
2021-01-17,27.0,16.7,0.00,0.00,3
2021-01-18,26.4,13.8,0.00,0.00,2
2021-01-19,26.1,14.9,0.00,0.00,3
2021-01-20,28.0,15.1,0.00,0.00,3
2021-01-21,28.1,17.1,0.00,0.00,3
2021-01-22,28.1,19.1,0.00,0.00,3
2021-01-23,27.8,17.6,0.00,0.00,3
2021-01-24,27.6,16.6,0.00,0.00,3
2021-01-25,27.3,15.2,0.00,0.00,3
2021-01-26,28.4,14.3,0.00,0.00,3
2021-01-27,27.8,14.9,0.00,0.00,3
2021-01-28,26.8,14.7,0.00,0.00,3
2021-01-29,27.7,16.2,0.00,0.00,3
2021-01-30,27.9,17.0,0.00,0.00,3
2021-01-31,28.7,16.7,0.00,0.00,2
2021-02-01,28.1,16.1,0.00,0.00,3
2021-02-02,27.7,15.3,0.00,0.00,2
2021-02-03,27.3,16.5,0.00,0.00,3
2021-02-04,27.5,15.0,0.00,0.00,3
2021-02-05,28.2,14.7,0.00,0.00,3
2021-02-06,28.4,14.0,0.00,0.00,2
2021-02-07,28.0,14.6,0.00,0.00,1
2021-02-08,28.1,14.7,0.00,0.00,2
2021-02-09,27.2,14.3,0.00,0.00,3
2021-02-10,28.3,13.3,0.00,0.00,3
2021-02-11,28.2,13.8,0.00,0.00,3
2021-02-12,29.0,13.0,0.00,0.00,3
2021-02-13,28.8,13.7,0.00,0.00,1
2021-02-14,29.3,14.2,0.00,0.00,3
2021-02-15,30.2,16.3,0.00,0.00,3
2021-02-16,29.6,16.4,0.00,0.00,2
2021-02-17,29.6,17.2,0.00,0.00,1
2021-02-18,28.6,16.3,0.30,0.30,51
2021-02-19,28.6,16.8,2.20,2.20,53
2021-02-20,25.7,16.7,10.30,10.30,63
2021-02-21,23.2,17.2,3.90,3.90,53
2021-02-22,27.2,16.8,0.50,0.50,51
2021-02-23,29.1,16.7,0.00,0.00,3
2021-02-24,29.6,17.2,0.00,0.00,3
2021-02-25,30.9,16.9,0.00,0.00,3
2021-02-26,31.5,16.2,0.00,0.00,3
2021-02-27,32.2,17.0,0.00,0.00,3
2021-02-28,32.2,17.5,0.00,0.00,0
2021-03-01,31.9,16.1,0.00,0.00,0
2021-03-02,32.8,17.0,0.00,0.00,3
2021-03-03,31.3,17.4,0.00,0.00,0
2021-03-04,30.3,16.5,0.00,0.00,0
2021-03-05,31.3,15.3,0.00,0.00,3
2021-03-06,33.0,16.2,0.00,0.00,0
2021-03-07,32.7,17.2,0.00,0.00,0
2021-03-08,31.7,17.3,0.00,0.00,0
2021-03-09,31.7,17.1,0.00,0.00,0
2021-03-10,31.7,17.6,0.00,0.00,3
2021-03-11,31.6,19.7,0.00,0.00,3
2021-03-12,31.4,17.8,0.00,0.00,3
2021-03-13,31.3,16.0,0.00,0.00,0
2021-03-14,31.8,16.8,0.00,0.00,0
